Name,Institution,Country,City
Geraint D'Arcy,University of East Anglia,United Kingdom (UK),Norwich
Paul Mulraney,Falmouth University,United Kingdom (UK),Falmouth
Marshall Deutelbaum,Purdue University (retired),United States of America (USA),"West Lafayette, Indiana"
Juliet John,Deakin University,Australia,Melbourne
Emmeline Dulhunty,UTS (University of Technology),Australia,Sydney
Virginia Mesiti,AFTRS,Australia,Sydney
Natalie Beak,Australian Film Television and Radio School (AFTRS),Australia,Sydney
Noelle Thomas,De Paul University School of Cinematic Arts,United States of America (USA),"Chicago, IL"
Adriana Serrano,University of Texas,United States of America (USA),Austin
Daniela Cruz Rodríguez,Escuela Nacional de Artes Cinematográficas (ENAC- UNAM),Mexico,Mexico City
Luke Cantarella,Pace University,United States of America (USA),New York